user_id,uname,stars,review_count,how_long_month,friends,text_length,num_business,review_per_bus,pro_cool,pro_funny,pro_useful,x,y
bvzx9E-jPR9_lPTwdhj3mw,Ju,3.64,77,72,0,1590,1,1.00,0.16,0.03,0.55,-2.3103947357489227,-4.098598019330348
IqOdGiokQdxRM7B-12ziRg,Michael,4.23,63,47,1,876,1,1.00,0.19,0.11,0.71,9.0669215268626324,11.654681753081327
acx8EDAInw8hbBDHbQkDUg,Gary,3.21,73,53,0,787,7,1.00,0.12,0.14,0.60,-1.9481370434928635,-7.7063233169744203
GeFduaAGIn7n6sFjqUqcaA,Amy,4.07,93,72,8,321,8,1.13,0.52,0.20,0.86,-2.2564385139293712,9.0655062920064768
N4878r3seZOjglSOSN4kuw,Sarah,4.11,56,73,14,1123,3,1.00,1.14,1.18,2.36,16.557369911932778,-3.1424159561261389
ATNZbGodebIzvY36_gnYiQ,Sheryl,3.66,67,27,3,178,1,1.00,0.07,0.28,0.91,1.4006395303367036,-9.2266796996390443
nGG6CaM1Olqq82dXgUZ4Kw,George,3.65,60,53,2,437,1,1.00,0.03,0.03,0.33,12.826736867393045,9.4008633037843019
2KYlXaWQgxUCc7W085Rh8Q,Chloe,3.43,59,76,1,212,1,1.00,0.88,0.95,3.08,11.404227687336768,-1.2206857945676104
0olc9C7nUbaqGz-OXFlKaQ,Jennifer,3.45,55,44,3,815,1,1.00,0.16,0.11,0.75,11.19474651681945,5.7440699159211794
h9lyDcX9jEuN3b2kEIuy1g,RJ,4.04,57,71,0,117,11,1.00,0.07,0.02,0.16,16.105225707500043,0.090984955478195878
XnssWPQCd3K3t9XvJW0N4g,Florence,3.05,60,75,2,763,1,1.00,0.33,0.55,2.03,9.7311491817548603,-1.1983938242362333
KCXlGFL9BNUd2wol5M8UvQ,Erin,3.68,57,48,3,769,1,1.00,0.12,0.25,0.91,13.501029107988101,8.4228701842380751
gmoHecJCB2TcV9vdPPLjDg,k,3.70,68,65,0,300,4,1.00,0.31,0.21,0.56,1.5519054765344662,-15.12027908434346
1aN5gfWMNfLkFMkNr60P-A,Jessica,4.25,51,83,9,656,41,1.00,0.35,0.22,1.02,-12.428550279945997,5.2269581253322359
69_48wty330otbWzmmAXGg,Alexandra,4.24,51,63,5,876,2,1.00,0.78,0.61,2.24,17.71580874025015,-4.8527418730981129
rRnU7S9BpNxMFRw0fMxpTQ,Kirk,4.00,51,83,16,882,29,1.03,0.61,0.57,1.67,-10.281865351958855,4.9116874474015546
dDc2F60eqmFgUYl-I-w86A,Jen,3.66,91,67,8,589,3,1.00,0.33,0.18,1.05,-3.7752481501906709,6.2354837455254177
Yr2fmpUX9U4tBnBQojho-Q,Jerry,3.53,78,44,15,458,2,1.00,0.22,0.14,0.33,-7.1451329931541148,-4.4454049581456951
C_Gqth2-i1Kyh3NBVtwFBg,Michelle,3.79,53,56,10,279,9,1.00,0.45,0.45,0.85,13.723412578292363,5.4060705821471524
vJSka1kz9jTqwipbe_1w5w,Eric,3.57,58,68,6,630,2,1.00,0.41,0.55,1.26,13.094662363955575,-0.0076217381210894617
LHj2rYJWEokimXrxBN9hIQ,Allen,3.53,74,69,3,951,3,1.00,0.24,0.28,1.61,-3.3313180040850803,-6.5977901411730633
qLoURIjIEZihwavWybqIPQ,Elizabeth,3.88,75,54,7,447,10,1.00,0.20,0.43,0.65,-5.1215361611059294,-10.292169452863261
Ubq3QrYpJyLwEkYFZiRjXg,Rita,4.05,53,90,23,1693,2,1.00,0.74,0.43,1.91,13.1329042097271,-10.957658143946746
myDEhBkDmC6t9Vzw2pGyxw,Alan,3.88,100,19,1,511,5,1.00,0.08,0.10,0.42,-5.8538778883245657,15.486716722398317
MsutMVyQzQrToXJCI0YMqg,Emmy,3.32,89,61,2,678,39,1.23,0.16,0.24,0.73,-10.06558135029432,10.390267651902164
z7J0HLsOsIvQDKhjHijWBw,Elliot,3.53,89,55,1,1024,2,1.00,0.27,0.39,1.06,-5.3833785735062465,4.6967961522482673
V3XipfYV1U4WYbe6Whjzlg,Lindsey,3.44,55,23,4,427,35,1.00,0.15,0.07,0.27,-11.349893972629603,7.1589767550943275
vz9DfZo7SVhsg_Nl4zJf7A,Joe,3.55,87,57,2,852,1,1.00,0.51,0.61,1.72,-5.2783412698018779,3.0271900590591505
m8B-Gw7Eg_Es-t6IZyK07A,David,3.85,60,47,2,1223,3,1.00,0.42,0.35,0.95,10.780340283753445,10.321318233286217
HNcxoXgQ6GGGfpvjMfb2rQ,Rachel,3.77,54,87,19,973,1,1.00,0.89,0.78,2.78,13.731745834837945,-6.9557069891620005
6DQwuEHK-kYlAR7QrhvQbw,Wendee,3.41,59,79,5,592,6,1.00,0.36,0.31,0.83,11.428045138687903,-1.3698296262614134
GjggdVEjRmatV_rQzFQJew,Kelly,3.24,72,84,0,865,33,1.00,0.11,0.32,1.44,-10.776611730121976,2.4212366948618187
UyEce86Ya_ca_yKv5AgENQ,J,3.65,66,30,1,496,43,1.02,0.33,0.53,1.24,-12.449479719982284,3.4936160668065752
KcRkCELB4dbGcfdmXlxzzQ,David,4.93,74,81,131,122,48,1.00,0.07,0.20,0.39,-15.851266375946746,3.316679611824183
VRiT8c7WfMTKR6uhRDFqGQ,Jake,4.03,59,59,3,275,2,1.00,0.53,0.15,0.75,11.839349949873061,12.102101166922731
RrqiF4mfF4pbaxmazgETdA,Uyen,3.59,74,84,6,1092,8,1.00,0.59,0.24,1.01,0.64615719088050705,-2.3435167416134552
BaLsPF4Quz4g-3MjMlgJ1Q,Eric,3.54,55,43,8,1194,1,1.00,0.73,0.25,1.62,10.971128463560252,5.7805082991433245
zQ8aQRdH7dr7p8HsY3T_-Q,Bridget,4.13,80,57,110,1048,3,1.00,1.49,1.08,2.11,-5.8188856539893186,-3.1123063010260545
gFlQFHyqy8kSuV0fHdZDlA,Michael,3.07,50,44,2,1229,3,1.00,0.30,0.64,2.46,-2.7213725831046935,-9.9932264819782919
CcxyCrlMxMcWu02NJ1GOsA,Jackie,3.84,50,61,11,209,3,1.00,0.24,0.54,0.62,13.671526073158956,3.5269034212274106
